exception_id,exception_type,domain,source_system,region,asset_class,missing_field_count,age_days,break_amount,price_movement_pct,duplicate_flag,currency_mismatch_flag,refresh_delay_hours,severity,root_cause,owner,sla_hours,resolution_label,created_at
EXC0000021,Stale Price,Pricing,Aladdin,APAC,Derivative,1,2,1464.43,1.91,0,0,38,Low,Stale Price pattern detected from source controls,Pricing Control,72,Resolved,2026-04-03
EXC0000022,Trade Match Break,Trades,Bloomberg,EMEA,Government Bond,0,12,16936.79,1.21,0,0,12,High,Trade Match Break pattern detected from source controls,Trade Support,24,Open,2026-04-15
EXC0000023,Missing Client Mapping,Client Data,IBOR,APAC,Government Bond,4,0,1745.02,4.34,0,0,2,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Resolved,2026-04-28
EXC0000024,Missing Client Mapping,Client Data,Murex,APAC,Government Bond,4,14,2094.91,0.98,0,0,5,Medium,Missing Client Mapping pattern detected from source controls,Client Data Ops,48,Escalated,2026-05-10
EXC0000025,Position Reconciliation Break,Positions,Murex,Americas,Government Bond,0,8,42428.1,2.8,0,0,18,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Suppressed,2026-04-13
EXC0000026,Invalid Currency,Reference Data,Aladdin,APAC,ETF,1,14,4332.88,2.72,0,1,15,High,Invalid Currency pattern detected from source controls,Reference Data Ops,24,Resolved,2026-04-23
EXC0000027,Trade Match Break,Trades,Murex,Americas,ETF,1,2,45481.16,0.32,0,0,16,Medium,Trade Match Break pattern detected from source controls,Trade Support,48,Resolved,2026-04-25
EXC0000028,Stale Price,Pricing,Refinitiv,Americas,Government Bond,1,10,1182.26,-0.11,0,0,68,Low,Stale Price pattern detected from source controls,Pricing Control,72,Resolved,2026-03-23
EXC0000029,Delayed Source Load,Source Control,Aladdin,Americas,Corporate Bond,0,3,709.84,1.42,0,0,24,Low,Delayed Source Load pattern detected from source controls,Source Systems,72,Escalated,2026-05-16
EXC0000030,Missing Reference Data,Reference Data,SimCorp,APAC,Derivative,1,12,616.34,0.42,0,0,10,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Resolved,2026-05-07
EXC0000031,Performance Return Outlier,Positions,Murex,EMEA,ETF,1,1,75688.97,4.25,0,0,15,High,Performance Return Outlier pattern detected from source controls,Reconciliation,24,Open,2026-04-20
EXC0000032,Missing Client Mapping,Client Data,Custodian,EMEA,Government Bond,1,11,2893.64,3.3,0,0,2,Medium,Missing Client Mapping pattern detected from source controls,Client Data Ops,48,Resolved,2026-03-23
EXC0000033,Invalid Currency,Reference Data,SimCorp,Americas,Corporate Bond,0,9,2508.24,2.93,0,1,15,Medium,Invalid Currency pattern detected from source controls,Reference Data Ops,48,Escalated,2026-04-17
EXC0000034,Position Reconciliation Break,Positions,ABOR,EMEA,Government Bond,1,2,28425.07,-0.36,0,0,12,Medium,Position Reconciliation Break pattern detected from source controls,Reconciliation,48,Resolved,2026-04-21
EXC0000035,Delayed Source Load,Source Control,Bloomberg,EMEA,Derivative,0,16,1147.45,-0.6,0,0,72,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Resolved,2026-03-30
EXC0000036,Missing Reference Data,Reference Data,Aladdin,EMEA,Corporate Bond,1,18,367.93,2.72,0,0,17,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-05
EXC0000037,Duplicate Record,Trades,Refinitiv,EMEA,Derivative,0,12,156597.9,5.88,1,0,15,Critical,Duplicate Record pattern detected from source controls,Trade Support,8,Suppressed,2026-04-04
EXC0000038,Price Outlier,Pricing,ABOR,APAC,Corporate Bond,1,11,6789.22,9.87,0,0,14,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Resolved,2026-04-11
EXC0000039,Duplicate Record,Trades,Bloomberg,EMEA,Equity,0,7,17813.36,4.5,1,0,10,Medium,Duplicate Record pattern detected from source controls,Trade Support,48,Resolved,2026-04-22
EXC0000040,Invalid Currency,Reference Data,SimCorp,Americas,Equity,0,6,2539.27,0.74,0,1,19,Medium,Invalid Currency pattern detected from source controls,Reference Data Ops,48,Resolved,2026-04-15
EXC0000041,Stale Price,Pricing,Bloomberg,EMEA,Equity,1,0,3728.62,2.54,0,0,86,Low,Stale Price pattern detected from source controls,Pricing Control,72,Open,2026-04-20
EXC0000042,Stale Price,Pricing,ABOR,Americas,Corporate Bond,1,10,923.28,1.17,0,0,50,Low,Stale Price pattern detected from source controls,Pricing Control,72,Resolved,2026-04-22
EXC0000043,Duplicate Record,Trades,SimCorp,APAC,ETF,0,11,49089.9,-0.32,1,0,15,High,Duplicate Record pattern detected from source controls,Trade Support,24,Resolved,2026-04-02
EXC0000044,Unknown / Needs SME Review,Reference Data,Refinitiv,Americas,Government Bond,0,0,2723.75,1.99,0,0,11,Low,Unknown / Needs SME Review pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-15
EXC0000045,Invalid Currency,Reference Data,IBOR,APAC,ETF,1,7,857.47,-0.67,0,1,18,Low,Invalid Currency pattern detected from source controls,Reference Data Ops,72,Resolved,2026-05-02
EXC0000046,Position Reconciliation Break,Positions,Aladdin,Americas,Equity,1,12,80182.29,-0.36,0,0,7,Critical,Position Reconciliation Break pattern detected from source controls,Reconciliation,8,Open,2026-04-11
EXC0000047,Performance Return Outlier,Positions,Custodian,EMEA,ETF,1,5,9039.92,17.41,0,0,15,Medium,Performance Return Outlier pattern detected from source controls,Reconciliation,48,Resolved,2026-04-28
EXC0000048,Delayed Source Load,Source Control,ABOR,EMEA,ETF,0,13,1312.17,0.65,0,0,90,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Escalated,2026-04-01
EXC0000049,Missing Client Mapping,Client Data,Custodian,APAC,Government Bond,3,9,455.83,1.43,0,0,18,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Resolved,2026-03-26
EXC0000050,Trade Match Break,Trades,SimCorp,Americas,ETF,0,20,19736.69,-3.67,0,0,3,Critical,Trade Match Break pattern detected from source controls,Trade Support,8,Resolved,2026-04-13
EXC0000051,Position Reconciliation Break,Positions,Custodian,APAC,Equity,1,3,65029.35,-0.83,0,0,3,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Open,2026-04-04
EXC0000052,Price Outlier,Pricing,Murex,EMEA,Government Bond,0,0,2089.89,16.83,0,0,19,Low,Price Outlier pattern detected from source controls,Pricing Control,72,Suppressed,2026-05-11
EXC0000053,Delayed Source Load,Source Control,SimCorp,Americas,ETF,1,7,921.76,1.48,0,0,30,Low,Delayed Source Load pattern detected from source controls,Source Systems,72,Resolved,2026-03-24
EXC0000054,Price Outlier,Pricing,SimCorp,APAC,Equity,0,17,1898.42,1.45,0,0,10,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Open,2026-04-09
EXC0000055,Invalid Currency,Reference Data,Custodian,EMEA,Equity,1,20,4826.03,2.54,0,1,9,High,Invalid Currency pattern detected from source controls,Reference Data Ops,24,Open,2026-03-28
EXC0000056,Delayed Source Load,Source Control,Refinitiv,EMEA,ETF,0,13,1768.27,1.23,0,0,75,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Escalated,2026-04-04
EXC0000057,Position Reconciliation Break,Positions,IBOR,EMEA,Government Bond,0,13,10483.94,-0.71,0,0,4,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Escalated,2026-04-04
EXC0000058,Stale Price,Pricing,Custodian,EMEA,Corporate Bond,0,15,2442.02,0.13,0,0,50,Medium,Stale Price pattern detected from source controls,Pricing Control,48,Resolved,2026-05-13
EXC0000059,Missing Reference Data,Reference Data,Aladdin,APAC,Corporate Bond,3,21,1837.07,6.4,0,0,17,High,Missing Reference Data pattern detected from source controls,Reference Data Ops,24,Escalated,2026-05-04
EXC0000060,Invalid Currency,Reference Data,IBOR,APAC,Derivative,1,20,2144.33,0.17,0,1,18,High,Invalid Currency pattern detected from source controls,Reference Data Ops,24,Escalated,2026-04-28
EXC0000061,Price Outlier,Pricing,Murex,APAC,Corporate Bond,1,13,3938.51,19.88,0,0,3,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Resolved,2026-04-18
EXC0000062,Missing Reference Data,Reference Data,SimCorp,EMEA,Corporate Bond,1,7,1187.9,0.46,0,0,9,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Open,2026-04-25
EXC0000063,Trade Match Break,Trades,Custodian,EMEA,Derivative,1,2,49979.34,0.7,0,0,9,High,Trade Match Break pattern detected from source controls,Trade Support,24,Resolved,2026-04-24
EXC0000064,Duplicate Record,Trades,Bloomberg,APAC,Corporate Bond,0,3,16516.98,1.69,1,0,10,Medium,Duplicate Record pattern detected from source controls,Trade Support,48,Resolved,2026-04-17
EXC0000065,Position Reconciliation Break,Positions,IBOR,EMEA,Government Bond,1,14,32294.81,1.06,0,0,10,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Resolved,2026-04-26
EXC0000066,Stale Price,Pricing,Custodian,Americas,Corporate Bond,0,1,2066.7,-0.85,0,0,41,Low,Stale Price pattern detected from source controls,Pricing Control,72,Resolved,2026-04-15
EXC0000067,Duplicate Record,Trades,Custodian,APAC,Government Bond,0,19,74070.14,1.46,1,0,17,Critical,Duplicate Record pattern detected from source controls,Trade Support,8,Resolved,2026-04-03
EXC0000068,Trade Match Break,Trades,SimCorp,EMEA,Corporate Bond,0,10,43022.3,-2.18,0,0,4,High,Trade Match Break pattern detected from source controls,Trade Support,24,Escalated,2026-04-12
EXC0000069,Position Reconciliation Break,Positions,IBOR,EMEA,Derivative,0,20,22743.28,2.41,0,0,5,Critical,Position Reconciliation Break pattern detected from source controls,Reconciliation,8,Resolved,2026-04-26
EXC0000070,Delayed Source Load,Source Control,IBOR,Americas,Equity,1,18,2001.32,2.06,0,0,87,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Resolved,2026-03-23
EXC0000071,Missing Reference Data,Reference Data,IBOR,EMEA,Government Bond,2,12,2924.53,3.32,0,0,19,Medium,Missing Reference Data pattern detected from source controls,Reference Data Ops,48,Resolved,2026-05-11
EXC0000072,Position Reconciliation Break,Positions,SimCorp,APAC,ETF,1,9,49676.83,0.26,0,0,18,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Open,2026-05-19
EXC0000073,Stale Price,Pricing,ABOR,EMEA,Derivative,1,2,602.55,3.35,0,0,31,Low,Stale Price pattern detected from source controls,Pricing Control,72,Resolved,2026-04-29
EXC0000074,Stale Price,Pricing,SimCorp,Americas,Equity,1,21,465.78,2.58,0,0,85,Medium,Stale Price pattern detected from source controls,Pricing Control,48,Open,2026-04-17
EXC0000075,Duplicate Record,Trades,SimCorp,APAC,Derivative,0,14,43187.05,1.82,1,0,3,High,Duplicate Record pattern detected from source controls,Trade Support,24,Resolved,2026-04-01
EXC0000076,Invalid Currency,Reference Data,Bloomberg,EMEA,Corporate Bond,0,9,7010.9,6.44,0,1,8,Medium,Invalid Currency pattern detected from source controls,Reference Data Ops,48,Open,2026-04-14
EXC0000077,Duplicate Record,Trades,SimCorp,EMEA,ETF,0,3,65361.8,2.68,1,0,5,High,Duplicate Record pattern detected from source controls,Trade Support,24,Open,2026-04-19
EXC0000078,Performance Return Outlier,Positions,Bloomberg,Americas,Equity,0,18,53563.14,18.82,0,0,4,Critical,Performance Return Outlier pattern detected from source controls,Reconciliation,8,Open,2026-05-01
EXC0000079,Missing Client Mapping,Client Data,SimCorp,Americas,Equity,4,1,259.75,5.34,0,0,17,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Open,2026-05-19
EXC0000080,Stale Price,Pricing,Aladdin,Americas,Government Bond,1,14,2437.23,2.78,0,0,20,Medium,Stale Price pattern detected from source controls,Pricing Control,48,Escalated,2026-04-26
EXC0000081,Duplicate Record,Trades,Murex,Americas,Equity,0,4,2991.25,5.95,1,0,3,Medium,Duplicate Record pattern detected from source controls,Trade Support,48,Resolved,2026-04-12
EXC0000082,Duplicate Record,Trades,IBOR,EMEA,Government Bond,1,13,107962.7,-3.14,1,0,7,Critical,Duplicate Record pattern detected from source controls,Trade Support,8,Resolved,2026-03-31
EXC0000083,Duplicate Record,Trades,Bloomberg,EMEA,Government Bond,0,2,30848.85,0.75,1,0,0,Medium,Duplicate Record pattern detected from source controls,Trade Support,48,Resolved,2026-05-09
EXC0000084,Trade Match Break,Trades,Refinitiv,Americas,Government Bond,1,17,97787.16,0.75,0,0,16,Critical,Trade Match Break pattern detected from source controls,Trade Support,8,Suppressed,2026-05-04
EXC0000085,Unknown / Needs SME Review,Reference Data,Bloomberg,EMEA,Equity,0,9,22393.21,-3.22,0,0,5,High,Unknown / Needs SME Review pattern detected from source controls,Reference Data Ops,24,Resolved,2026-05-13
EXC0000086,Position Reconciliation Break,Positions,IBOR,EMEA,ETF,1,9,23683.58,1.91,0,0,11,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Open,2026-04-07
EXC0000087,Missing Client Mapping,Client Data,SimCorp,EMEA,Corporate Bond,3,20,2938.36,0.57,0,0,10,High,Missing Client Mapping pattern detected from source controls,Client Data Ops,24,Escalated,2026-05-01
EXC0000088,Position Reconciliation Break,Positions,Aladdin,Americas,ETF,1,4,49743.26,-3.5,0,0,3,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Resolved,2026-03-28
EXC0000089,Missing Client Mapping,Client Data,Refinitiv,EMEA,Corporate Bond,1,14,2285.99,-0.42,0,0,7,Medium,Missing Client Mapping pattern detected from source controls,Client Data Ops,48,Resolved,2026-04-03
EXC0000090,Trade Match Break,Trades,SimCorp,Americas,Corporate Bond,1,12,26064.29,4.97,0,0,2,High,Trade Match Break pattern detected from source controls,Trade Support,24,Resolved,2026-03-24
EXC0000091,Missing Reference Data,Reference Data,Murex,APAC,Equity,3,15,1962.87,3.77,0,0,3,Medium,Missing Reference Data pattern detected from source controls,Reference Data Ops,48,Resolved,2026-05-16
EXC0000092,Position Reconciliation Break,Positions,Bloomberg,EMEA,Derivative,0,14,11090.52,-0.28,0,0,16,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Resolved,2026-03-29
EXC0000093,Position Reconciliation Break,Positions,IBOR,APAC,Corporate Bond,0,17,22716.67,-0.35,0,0,7,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Resolved,2026-05-07
EXC0000094,Missing Reference Data,Reference Data,Refinitiv,APAC,Equity,3,7,6915.46,3.65,0,0,9,Medium,Missing Reference Data pattern detected from source controls,Reference Data Ops,48,Resolved,2026-04-14
EXC0000095,Invalid Currency,Reference Data,SimCorp,EMEA,Corporate Bond,1,5,584.67,-3.41,0,1,13,Low,Invalid Currency pattern detected from source controls,Reference Data Ops,72,Resolved,2026-05-07
EXC0000096,Delayed Source Load,Source Control,Bloomberg,EMEA,Equity,0,14,935.11,2.98,0,0,46,Low,Delayed Source Load pattern detected from source controls,Source Systems,72,Resolved,2026-04-11
EXC0000097,Delayed Source Load,Source Control,ABOR,APAC,Equity,0,12,7965.58,-3.08,0,0,45,High,Delayed Source Load pattern detected from source controls,Source Systems,24,Resolved,2026-03-31
EXC0000098,Trade Match Break,Trades,Aladdin,EMEA,Equity,1,20,26790.53,5.6,0,0,17,Critical,Trade Match Break pattern detected from source controls,Trade Support,8,Resolved,2026-04-22
EXC0000099,Trade Match Break,Trades,Murex,EMEA,ETF,1,15,6239.37,3.15,0,0,11,High,Trade Match Break pattern detected from source controls,Trade Support,24,Resolved,2026-05-04
EXC0000100,Delayed Source Load,Source Control,Aladdin,EMEA,Government Bond,0,5,2468.5,-3.11,0,0,38,Low,Delayed Source Load pattern detected from source controls,Source Systems,72,Escalated,2026-04-20
EXC0000101,Unknown / Needs SME Review,Reference Data,IBOR,EMEA,Derivative,1,6,1242.6,0.55,0,0,18,Low,Unknown / Needs SME Review pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-15
EXC0000102,Missing Reference Data,Reference Data,IBOR,Americas,Derivative,2,15,205.87,2.29,0,0,5,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-05
EXC0000103,Missing Reference Data,Reference Data,Custodian,Americas,ETF,1,8,608.89,-3.47,0,0,14,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Resolved,2026-05-12
EXC0000104,Missing Reference Data,Reference Data,Aladdin,APAC,Government Bond,4,20,9373.05,1.39,0,0,17,High,Missing Reference Data pattern detected from source controls,Reference Data Ops,24,Resolved,2026-05-17
EXC0000105,Position Reconciliation Break,Positions,IBOR,EMEA,Derivative,1,15,10930.43,2.7,0,0,16,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Suppressed,2026-04-02
EXC0000106,Missing Client Mapping,Client Data,Aladdin,APAC,Derivative,3,8,5831.04,-3.67,0,0,12,Medium,Missing Client Mapping pattern detected from source controls,Client Data Ops,48,Open,2026-05-13
EXC0000107,Missing Reference Data,Reference Data,IBOR,EMEA,Equity,3,17,793.65,3.37,0,0,5,Medium,Missing Reference Data pattern detected from source controls,Reference Data Ops,48,Resolved,2026-05-04
EXC0000108,Invalid Currency,Reference Data,ABOR,Americas,Government Bond,0,15,1730.16,1.19,0,1,12,Medium,Invalid Currency pattern detected from source controls,Reference Data Ops,48,Suppressed,2026-03-27
EXC0000109,Stale Price,Pricing,ABOR,EMEA,ETF,0,7,1579.53,3.79,0,0,68,Low,Stale Price pattern detected from source controls,Pricing Control,72,Open,2026-04-22
EXC0000110,Missing Reference Data,Reference Data,Refinitiv,Americas,Derivative,4,9,1166.97,0.91,0,0,13,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Open,2026-05-14
EXC0000111,Duplicate Record,Trades,IBOR,APAC,Government Bond,0,13,78940.88,-1.14,1,0,6,Critical,Duplicate Record pattern detected from source controls,Trade Support,8,Resolved,2026-04-30
EXC0000112,Duplicate Record,Trades,SimCorp,EMEA,ETF,1,5,8486.62,-1.39,1,0,13,Medium,Duplicate Record pattern detected from source controls,Trade Support,48,Resolved,2026-03-29
EXC0000113,Price Outlier,Pricing,Custodian,Americas,Government Bond,0,14,4758.02,9.92,0,0,9,High,Price Outlier pattern detected from source controls,Pricing Control,24,Resolved,2026-04-10
EXC0000114,Trade Match Break,Trades,IBOR,EMEA,ETF,0,7,95312.44,1.03,0,0,19,High,Trade Match Break pattern detected from source controls,Trade Support,24,Resolved,2026-04-03
EXC0000115,Trade Match Break,Trades,SimCorp,Americas,ETF,0,20,24034.95,4.16,0,0,2,Critical,Trade Match Break pattern detected from source controls,Trade Support,8,Suppressed,2026-05-04
EXC0000116,Performance Return Outlier,Positions,ABOR,EMEA,Government Bond,0,12,21017.76,14.11,0,0,14,High,Performance Return Outlier pattern detected from source controls,Reconciliation,24,Resolved,2026-03-31
EXC0000117,Delayed Source Load,Source Control,Bloomberg,APAC,ETF,1,17,1419.58,-2.4,0,0,45,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Resolved,2026-05-19
EXC0000118,Position Reconciliation Break,Positions,Murex,EMEA,Equity,1,12,268432.34,0.36,0,0,11,Critical,Position Reconciliation Break pattern detected from source controls,Reconciliation,8,Open,2026-05-09
EXC0000119,Unknown / Needs SME Review,Reference Data,Aladdin,EMEA,Equity,0,4,818.49,-2.31,0,0,10,Low,Unknown / Needs SME Review pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-18
EXC0000120,Duplicate Record,Trades,SimCorp,EMEA,Derivative,0,14,27041.22,2.37,1,0,2,High,Duplicate Record pattern detected from source controls,Trade Support,24,Resolved,2026-03-28
EXC0000121,Missing Reference Data,Reference Data,IBOR,Americas,Corporate Bond,2,13,1363.42,2.95,0,0,11,Medium,Missing Reference Data pattern detected from source controls,Reference Data Ops,48,Resolved,2026-03-22
EXC0000122,Position Reconciliation Break,Positions,SimCorp,Americas,Corporate Bond,1,3,21459.01,3.38,0,0,8,Medium,Position Reconciliation Break pattern detected from source controls,Reconciliation,48,Resolved,2026-04-26
EXC0000123,Performance Return Outlier,Positions,Murex,EMEA,ETF,0,21,31082.21,15.35,0,0,4,Critical,Performance Return Outlier pattern detected from source controls,Reconciliation,8,Resolved,2026-03-31
EXC0000124,Invalid Currency,Reference Data,Murex,EMEA,Government Bond,1,1,1155.31,-0.25,0,1,18,Low,Invalid Currency pattern detected from source controls,Reference Data Ops,72,Open,2026-05-04
EXC0000125,Unknown / Needs SME Review,Reference Data,Aladdin,Americas,Government Bond,0,8,840.85,0.22,0,0,4,Low,Unknown / Needs SME Review pattern detected from source controls,Reference Data Ops,72,Resolved,2026-03-21
EXC0000126,Position Reconciliation Break,Positions,ABOR,Americas,Derivative,1,2,20329.38,1.27,0,0,8,Medium,Position Reconciliation Break pattern detected from source controls,Reconciliation,48,Escalated,2026-05-13
EXC0000127,Performance Return Outlier,Positions,Refinitiv,APAC,Corporate Bond,0,16,23741.57,3.91,0,0,7,High,Performance Return Outlier pattern detected from source controls,Reconciliation,24,Resolved,2026-04-23
EXC0000128,Missing Client Mapping,Client Data,ABOR,EMEA,Corporate Bond,3,9,1099.63,5.52,0,0,9,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Escalated,2026-05-19
EXC0000129,Delayed Source Load,Source Control,IBOR,Americas,Equity,1,11,725.18,0.58,0,0,85,Low,Delayed Source Load pattern detected from source controls,Source Systems,72,Escalated,2026-04-15
EXC0000130,Unknown / Needs SME Review,Reference Data,Bloomberg,APAC,Derivative,0,19,1052.93,1.24,0,0,12,Medium,Unknown / Needs SME Review pattern detected from source controls,Reference Data Ops,48,Resolved,2026-04-23
EXC0000131,Price Outlier,Pricing,Aladdin,APAC,Equity,1,9,2473.93,2.8,0,0,6,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Open,2026-04-02
EXC0000132,Duplicate Record,Trades,Bloomberg,APAC,Government Bond,0,10,18808.36,-0.32,1,0,6,High,Duplicate Record pattern detected from source controls,Trade Support,24,Resolved,2026-04-12
EXC0000133,Price Outlier,Pricing,Refinitiv,Americas,Government Bond,1,12,1526.1,15.36,0,0,14,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Resolved,2026-04-29
EXC0000134,Delayed Source Load,Source Control,Custodian,APAC,Derivative,0,20,928.53,-1.07,0,0,35,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Open,2026-03-24
EXC0000135,Duplicate Record,Trades,ABOR,EMEA,Government Bond,1,9,150669.3,6.18,1,0,11,High,Duplicate Record pattern detected from source controls,Trade Support,24,Resolved,2026-05-13
EXC0000136,Stale Price,Pricing,ABOR,Americas,Equity,1,5,1342.77,2.86,0,0,34,Low,Stale Price pattern detected from source controls,Pricing Control,72,Open,2026-05-15
EXC0000137,Trade Match Break,Trades,Bloomberg,EMEA,Corporate Bond,1,6,18817.32,0.65,0,0,2,Medium,Trade Match Break pattern detected from source controls,Trade Support,48,Resolved,2026-05-09
EXC0000138,Stale Price,Pricing,SimCorp,APAC,Government Bond,0,12,1305.26,-0.14,0,0,85,Low,Stale Price pattern detected from source controls,Pricing Control,72,Resolved,2026-04-15
EXC0000139,Position Reconciliation Break,Positions,IBOR,Americas,ETF,0,16,14732.47,4.59,0,0,4,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Resolved,2026-03-23
EXC0000140,Missing Reference Data,Reference Data,IBOR,Americas,Equity,4,18,4996.24,-0.59,0,0,1,High,Missing Reference Data pattern detected from source controls,Reference Data Ops,24,Escalated,2026-05-10
