exception_id,exception_type,domain,source_system,region,asset_class,missing_field_count,age_days,break_amount,price_movement_pct,duplicate_flag,currency_mismatch_flag,refresh_delay_hours,severity,root_cause,owner,sla_hours,resolution_label,created_at,sla_status,recurrence_count,is_high_value_break,predicted_exception_type,confidence_score,owner_recommendation,root_cause_hint,recommended_action,sme_review_flag,priority_score,explainability_summary,anomaly_score,anomaly_flag,reason_code,severity_recommendation
EXC0000010,Position Reconciliation Break,Positions,Murex,EMEA,Corporate Bond,0,2,142843.68,-2.5,0,0,13,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Escalated,2026-04-28,Breached,23,1,Position Reconciliation Break,0.829,Reconciliation,Most similar historical pattern: Position Reconciliation Break,"Compare IBOR, ABOR, and custodian balances; prioritize material value gaps.",False,65.3,"Position Reconciliation Break in Positions from Murex is ranked High because the item is 2 days old, has a break amount of 142843.68, and carries confidence 0.829.",0.4765,True,High-value reconciliation break,High
EXC0000011,Position Reconciliation Break,Positions,Bloomberg,Americas,Derivative,1,14,68025.97,0.9,0,0,0,Critical,Position Reconciliation Break pattern detected from source controls,Reconciliation,8,Escalated,2026-05-12,Breached,32,1,Position Reconciliation Break,0.87,Reconciliation,Most similar historical pattern: Position Reconciliation Break,"Compare IBOR, ABOR, and custodian balances; prioritize material value gaps.",False,68.0,"Position Reconciliation Break in Positions from Bloomberg is ranked Critical because the item is 14 days old, has a break amount of 68025.97, and carries confidence 0.87.",0.2825,False,High-value reconciliation break,Critical
EXC0000012,Missing Client Mapping,Client Data,Aladdin,Americas,Derivative,3,7,1856.83,0.83,0,0,1,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Open,2026-03-21,Breached,11,0,Missing Client Mapping,0.976,Client Data Ops,Most similar historical pattern: Missing Client Mapping,Route to client-data operations to complete portfolio and account mapping.,False,34.6,"Missing Client Mapping in Client Data from Aladdin is ranked Low because the item is 7 days old, has a break amount of 1856.83, and carries confidence 0.976.",0.092,False,Multi-factor isolation signal,Low
EXC0000013,Delayed Source Load,Source Control,Refinitiv,EMEA,Government Bond,1,9,1073.75,0.64,0,0,49,Low,Delayed Source Load pattern detected from source controls,Source Systems,72,Open,2026-05-04,Breached,14,0,Delayed Source Load,0.979,Source Systems,Most similar historical pattern: Delayed Source Load,Check source-system batch status and notify technology owner if SLA breached.,False,34.6,"Delayed Source Load in Source Control from Refinitiv is ranked Low because the item is 9 days old, has a break amount of 1073.75, and carries confidence 0.979.",0.2361,False,Late source refresh,Low
EXC0000014,Price Outlier,Pricing,SimCorp,EMEA,Government Bond,1,8,3649.12,14.69,0,0,13,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Resolved,2026-03-26,Breached,12,0,Price Outlier,0.959,Pricing Control,Most similar historical pattern: Price Outlier,"Check vendor price history, compare secondary source, and escalate material moves.",False,43.7,"Price Outlier in Pricing from SimCorp is ranked Medium because the item is 8 days old, has a break amount of 3649.12, and carries confidence 0.959.",0.2807,False,Large price/return move,Medium
EXC0000015,Price Outlier,Pricing,Refinitiv,Americas,Equity,0,16,2459.2,29.58,0,0,19,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Resolved,2026-04-11,Breached,13,0,Price Outlier,0.925,Pricing Control,Most similar historical pattern: Price Outlier,"Check vendor price history, compare secondary source, and escalate material moves.",False,44.0,"Price Outlier in Pricing from Refinitiv is ranked Medium because the item is 16 days old, has a break amount of 2459.2, and carries confidence 0.925.",0.5926,True,Large price/return move,High
EXC0000016,Invalid Currency,Reference Data,SimCorp,EMEA,ETF,0,7,216.8,3.92,0,1,19,Low,Invalid Currency pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-16,Breached,20,0,Invalid Currency,0.834,Reference Data Ops,Most similar historical pattern: Invalid Currency,"Validate security currency, trade currency, and portfolio base currency mapping.",False,36.2,"Invalid Currency in Reference Data from SimCorp is ranked Low because the item is 7 days old, has a break amount of 216.8, and carries confidence 0.834.",0.0865,False,Multi-factor isolation signal,Low
EXC0000017,Delayed Source Load,Source Control,IBOR,APAC,Equity,0,10,1973.05,-1.43,0,0,49,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Open,2026-03-21,Breached,15,0,Delayed Source Load,0.968,Source Systems,Most similar historical pattern: Delayed Source Load,Check source-system batch status and notify technology owner if SLA breached.,False,43.6,"Delayed Source Load in Source Control from IBOR is ranked Medium because the item is 10 days old, has a break amount of 1973.05, and carries confidence 0.968.",0.2709,False,Late source refresh,Medium
EXC0000018,Stale Price,Pricing,Bloomberg,EMEA,Equity,1,13,3308.93,1.69,0,0,60,Medium,Stale Price pattern detected from source controls,Pricing Control,48,Resolved,2026-05-18,Breached,12,0,Stale Price,0.938,Pricing Control,Most similar historical pattern: Stale Price,"Check vendor price history, compare secondary source, and escalate material moves.",False,43.9,"Stale Price in Pricing from Bloomberg is ranked Medium because the item is 13 days old, has a break amount of 3308.93, and carries confidence 0.938.",0.3186,False,Late source refresh,Medium
EXC0000019,Invalid Currency,Reference Data,IBOR,EMEA,Government Bond,1,18,2125.89,2.48,0,1,6,Medium,Invalid Currency pattern detected from source controls,Reference Data Ops,48,Resolved,2026-04-01,Breached,11,0,Invalid Currency,0.846,Reference Data Ops,Most similar historical pattern: Invalid Currency,"Validate security currency, trade currency, and portfolio base currency mapping.",False,44.7,"Invalid Currency in Reference Data from IBOR is ranked Medium because the item is 18 days old, has a break amount of 2125.89, and carries confidence 0.846.",0.102,False,Aging unresolved item,Medium
EXC0000020,Price Outlier,Pricing,SimCorp,EMEA,Derivative,0,10,2879.02,18.74,0,0,14,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Open,2026-03-29,Breached,12,0,Price Outlier,0.94,Pricing Control,Most similar historical pattern: Price Outlier,"Check vendor price history, compare secondary source, and escalate material moves.",False,43.8,"Price Outlier in Pricing from SimCorp is ranked Medium because the item is 10 days old, has a break amount of 2879.02, and carries confidence 0.94.",0.3025,False,Large price/return move,Medium
EXC0000021,Stale Price,Pricing,Aladdin,APAC,Derivative,1,2,1464.43,1.91,0,0,38,Low,Stale Price pattern detected from source controls,Pricing Control,72,Resolved,2026-04-03,Within SLA,20,0,Stale Price,0.94,Pricing Control,Most similar historical pattern: Stale Price,"Check vendor price history, compare secondary source, and escalate material moves.",False,15.3,"Stale Price in Pricing from Aladdin is ranked Low because the item is 2 days old, has a break amount of 1464.43, and carries confidence 0.94.",0.2487,False,Multi-factor isolation signal,Low
EXC0000022,Trade Match Break,Trades,Bloomberg,EMEA,Government Bond,0,12,16936.79,1.21,0,0,12,High,Trade Match Break pattern detected from source controls,Trade Support,24,Open,2026-04-15,Breached,40,0,Trade Match Break,0.911,Trade Support,Most similar historical pattern: Trade Match Break,Review counterparty economic fields and run fuzzy security/client match.,False,55.1,"Trade Match Break in Trades from Bloomberg is ranked High because the item is 12 days old, has a break amount of 16936.79, and carries confidence 0.911.",0.0349,False,Multi-factor isolation signal,High
EXC0000023,Missing Client Mapping,Client Data,IBOR,APAC,Government Bond,4,0,1745.02,4.34,0,0,2,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Resolved,2026-04-28,Within SLA,15,0,Missing Client Mapping,0.965,Client Data Ops,Most similar historical pattern: Missing Client Mapping,Route to client-data operations to complete portfolio and account mapping.,False,14.8,"Missing Client Mapping in Client Data from IBOR is ranked Low because the item is 0 days old, has a break amount of 1745.02, and carries confidence 0.965.",0.2529,False,Multi-factor isolation signal,Low
EXC0000024,Missing Client Mapping,Client Data,Murex,APAC,Government Bond,4,14,2094.91,0.98,0,0,5,Medium,Missing Client Mapping pattern detected from source controls,Client Data Ops,48,Escalated,2026-05-10,Breached,12,0,Missing Client Mapping,0.972,Client Data Ops,Most similar historical pattern: Missing Client Mapping,Route to client-data operations to complete portfolio and account mapping.,False,43.4,"Missing Client Mapping in Client Data from Murex is ranked Medium because the item is 14 days old, has a break amount of 2094.91, and carries confidence 0.972.",0.0401,False,Aging unresolved item,Medium
EXC0000025,Position Reconciliation Break,Positions,Murex,Americas,Government Bond,0,8,42428.1,2.8,0,0,18,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Suppressed,2026-04-13,Breached,23,0,Position Reconciliation Break,0.818,Reconciliation,Most similar historical pattern: Position Reconciliation Break,"Compare IBOR, ABOR, and custodian balances; prioritize material value gaps.",False,57.4,"Position Reconciliation Break in Positions from Murex is ranked High because the item is 8 days old, has a break amount of 42428.1, and carries confidence 0.818.",0.1334,False,Multi-factor isolation signal,High
EXC0000026,Invalid Currency,Reference Data,Aladdin,APAC,ETF,1,14,4332.88,2.72,0,1,15,High,Invalid Currency pattern detected from source controls,Reference Data Ops,24,Resolved,2026-04-23,Breached,7,0,Invalid Currency,0.93,Reference Data Ops,Most similar historical pattern: Invalid Currency,"Validate security currency, trade currency, and portfolio base currency mapping.",False,52.6,"Invalid Currency in Reference Data from Aladdin is ranked High because the item is 14 days old, has a break amount of 4332.88, and carries confidence 0.93.",0.0329,False,Aging unresolved item,High
EXC0000027,Trade Match Break,Trades,Murex,Americas,ETF,1,2,45481.16,0.32,0,0,16,Medium,Trade Match Break pattern detected from source controls,Trade Support,48,Resolved,2026-04-25,Within SLA,20,0,Trade Match Break,0.895,Trade Support,Most similar historical pattern: Trade Match Break,Review counterparty economic fields and run fuzzy security/client match.,False,28.0,"Trade Match Break in Trades from Murex is ranked Medium because the item is 2 days old, has a break amount of 45481.16, and carries confidence 0.895.",0.2159,False,Multi-factor isolation signal,Medium
EXC0000028,Stale Price,Pricing,Refinitiv,Americas,Government Bond,1,10,1182.26,-0.11,0,0,68,Low,Stale Price pattern detected from source controls,Pricing Control,72,Resolved,2026-03-23,Breached,21,0,Stale Price,0.923,Pricing Control,Most similar historical pattern: Stale Price,"Check vendor price history, compare secondary source, and escalate material moves.",False,35.5,"Stale Price in Pricing from Refinitiv is ranked Low because the item is 10 days old, has a break amount of 1182.26, and carries confidence 0.923.",0.3064,False,Late source refresh,Low
EXC0000029,Delayed Source Load,Source Control,Aladdin,Americas,Corporate Bond,0,3,709.84,1.42,0,0,24,Low,Delayed Source Load pattern detected from source controls,Source Systems,72,Escalated,2026-05-16,Within SLA,12,0,Delayed Source Load,0.917,Source Systems,Most similar historical pattern: Delayed Source Load,Check source-system batch status and notify technology owner if SLA breached.,False,15.1,"Delayed Source Load in Source Control from Aladdin is ranked Low because the item is 3 days old, has a break amount of 709.84, and carries confidence 0.917.",0.1694,False,Multi-factor isolation signal,Low
EXC0000030,Missing Reference Data,Reference Data,SimCorp,APAC,Derivative,1,12,616.34,0.42,0,0,10,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Resolved,2026-05-07,Breached,15,0,Unknown / Needs SME Review,0.499,Reference Data Ops,Most similar historical pattern: Unknown / Needs SME Review,Send to SME review with source evidence and model explanation.,True,39.4,"Unknown / Needs SME Review in Reference Data from SimCorp is ranked Low because the item is 12 days old, has a break amount of 616.34, and carries confidence 0.499.",0.026,False,Multi-factor isolation signal,Low
EXC0000031,Performance Return Outlier,Positions,Murex,EMEA,ETF,1,1,75688.97,4.25,0,0,15,High,Performance Return Outlier pattern detected from source controls,Reconciliation,24,Open,2026-04-20,Within SLA,10,1,Position Reconciliation Break,0.499,Reconciliation,Most similar historical pattern: Position Reconciliation Break,"Compare IBOR, ABOR, and custodian balances; prioritize material value gaps.",True,42.7,"Position Reconciliation Break in Positions from Murex is ranked High because the item is 1 days old, has a break amount of 75688.97, and carries confidence 0.499.",0.3401,False,High-value reconciliation break,High
EXC0000032,Missing Client Mapping,Client Data,Custodian,EMEA,Government Bond,1,11,2893.64,3.3,0,0,2,Medium,Missing Client Mapping pattern detected from source controls,Client Data Ops,48,Resolved,2026-03-23,Breached,11,0,Missing Client Mapping,0.939,Client Data Ops,Most similar historical pattern: Missing Client Mapping,Route to client-data operations to complete portfolio and account mapping.,False,43.8,"Missing Client Mapping in Client Data from Custodian is ranked Medium because the item is 11 days old, has a break amount of 2893.64, and carries confidence 0.939.",0.0454,False,Multi-factor isolation signal,Medium
EXC0000033,Invalid Currency,Reference Data,SimCorp,Americas,Corporate Bond,0,9,2508.24,2.93,0,1,15,Medium,Invalid Currency pattern detected from source controls,Reference Data Ops,48,Escalated,2026-04-17,Breached,20,0,Invalid Currency,0.944,Reference Data Ops,Most similar historical pattern: Invalid Currency,"Validate security currency, trade currency, and portfolio base currency mapping.",False,44.1,"Invalid Currency in Reference Data from SimCorp is ranked Medium because the item is 9 days old, has a break amount of 2508.24, and carries confidence 0.944.",0.0296,False,Multi-factor isolation signal,Medium
EXC0000034,Position Reconciliation Break,Positions,ABOR,EMEA,Government Bond,1,2,28425.07,-0.36,0,0,12,Medium,Position Reconciliation Break pattern detected from source controls,Reconciliation,48,Resolved,2026-04-21,Within SLA,21,0,Position Reconciliation Break,0.819,Reconciliation,Most similar historical pattern: Position Reconciliation Break,"Compare IBOR, ABOR, and custodian balances; prioritize material value gaps.",False,27.4,"Position Reconciliation Break in Positions from ABOR is ranked Medium because the item is 2 days old, has a break amount of 28425.07, and carries confidence 0.819.",0.1809,False,Multi-factor isolation signal,Medium
EXC0000035,Delayed Source Load,Source Control,Bloomberg,EMEA,Derivative,0,16,1147.45,-0.6,0,0,72,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Resolved,2026-03-30,Breached,10,0,Delayed Source Load,0.96,Source Systems,Most similar historical pattern: Delayed Source Load,Check source-system batch status and notify technology owner if SLA breached.,False,43.4,"Delayed Source Load in Source Control from Bloomberg is ranked Medium because the item is 16 days old, has a break amount of 1147.45, and carries confidence 0.96.",0.3864,False,Late source refresh,Medium
EXC0000036,Missing Reference Data,Reference Data,Aladdin,EMEA,Corporate Bond,1,18,367.93,2.72,0,0,17,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-05,Breached,22,0,Unknown / Needs SME Review,0.517,Reference Data Ops,Most similar historical pattern: Unknown / Needs SME Review,Send to SME review with source evidence and model explanation.,True,39.5,"Unknown / Needs SME Review in Reference Data from Aladdin is ranked Low because the item is 18 days old, has a break amount of 367.93, and carries confidence 0.517.",0.0816,False,Aging unresolved item,Low
EXC0000037,Duplicate Record,Trades,Refinitiv,EMEA,Derivative,0,12,156597.9,5.88,1,0,15,Critical,Duplicate Record pattern detected from source controls,Trade Support,8,Suppressed,2026-04-04,Breached,12,1,Duplicate Record,0.839,Trade Support,Most similar historical pattern: Duplicate Record,Confirm duplicate key collision and suppress or merge after control approval.,False,74.6,"Duplicate Record in Trades from Refinitiv is ranked Critical because the item is 12 days old, has a break amount of 156597.9, and carries confidence 0.839.",0.4899,True,High-value reconciliation break,Critical
EXC0000038,Price Outlier,Pricing,ABOR,APAC,Corporate Bond,1,11,6789.22,9.87,0,0,14,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Resolved,2026-04-11,Breached,19,0,Price Outlier,0.95,Pricing Control,Most similar historical pattern: Price Outlier,"Check vendor price history, compare secondary source, and escalate material moves.",False,44.3,"Price Outlier in Pricing from ABOR is ranked Medium because the item is 11 days old, has a break amount of 6789.22, and carries confidence 0.95.",0.1908,False,Multi-factor isolation signal,Medium
EXC0000039,Duplicate Record,Trades,Bloomberg,EMEA,Equity,0,7,17813.36,4.5,1,0,10,Medium,Duplicate Record pattern detected from source controls,Trade Support,48,Resolved,2026-04-22,Breached,17,0,Duplicate Record,0.896,Trade Support,Most similar historical pattern: Duplicate Record,Confirm duplicate key collision and suppress or merge after control approval.,False,45.6,"Duplicate Record in Trades from Bloomberg is ranked Medium because the item is 7 days old, has a break amount of 17813.36, and carries confidence 0.896.",0.1254,False,Multi-factor isolation signal,Medium
EXC0000040,Invalid Currency,Reference Data,SimCorp,Americas,Equity,0,6,2539.27,0.74,0,1,19,Medium,Invalid Currency pattern detected from source controls,Reference Data Ops,48,Resolved,2026-04-15,Breached,20,0,Invalid Currency,0.945,Reference Data Ops,Most similar historical pattern: Invalid Currency,"Validate security currency, trade currency, and portfolio base currency mapping.",False,44.1,"Invalid Currency in Reference Data from SimCorp is ranked Medium because the item is 6 days old, has a break amount of 2539.27, and carries confidence 0.945.",0.0565,False,Multi-factor isolation signal,Medium
EXC0000041,Stale Price,Pricing,Bloomberg,EMEA,Equity,1,0,3728.62,2.54,0,0,86,Low,Stale Price pattern detected from source controls,Pricing Control,72,Open,2026-04-20,Within SLA,12,0,Stale Price,0.938,Pricing Control,Most similar historical pattern: Stale Price,"Check vendor price history, compare secondary source, and escalate material moves.",False,15.1,"Stale Price in Pricing from Bloomberg is ranked Low because the item is 0 days old, has a break amount of 3728.62, and carries confidence 0.938.",0.5916,True,Late source refresh,High
EXC0000042,Stale Price,Pricing,ABOR,Americas,Corporate Bond,1,10,923.28,1.17,0,0,50,Low,Stale Price pattern detected from source controls,Pricing Control,72,Resolved,2026-04-22,Breached,23,0,Stale Price,0.963,Pricing Control,Most similar historical pattern: Stale Price,"Check vendor price history, compare secondary source, and escalate material moves.",False,35.1,"Stale Price in Pricing from ABOR is ranked Low because the item is 10 days old, has a break amount of 923.28, and carries confidence 0.963.",0.2184,False,Late source refresh,Low
EXC0000043,Duplicate Record,Trades,SimCorp,APAC,ETF,0,11,49089.9,-0.32,1,0,15,High,Duplicate Record pattern detected from source controls,Trade Support,24,Resolved,2026-04-02,Breached,19,1,Duplicate Record,0.893,Trade Support,Most similar historical pattern: Duplicate Record,Confirm duplicate key collision and suppress or merge after control approval.,False,57.0,"Duplicate Record in Trades from SimCorp is ranked High because the item is 11 days old, has a break amount of 49089.9, and carries confidence 0.893.",0.1385,False,Multi-factor isolation signal,High
EXC0000044,Unknown / Needs SME Review,Reference Data,Refinitiv,Americas,Government Bond,0,0,2723.75,1.99,0,0,11,Low,Unknown / Needs SME Review pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-15,Within SLA,11,0,Unknown / Needs SME Review,0.488,Reference Data Ops,Most similar historical pattern: Unknown / Needs SME Review,Send to SME review with source evidence and model explanation.,True,19.5,"Unknown / Needs SME Review in Reference Data from Refinitiv is ranked Low because the item is 0 days old, has a break amount of 2723.75, and carries confidence 0.488.",0.1956,False,Multi-factor isolation signal,Low
EXC0000045,Invalid Currency,Reference Data,IBOR,APAC,ETF,1,7,857.47,-0.67,0,1,18,Low,Invalid Currency pattern detected from source controls,Reference Data Ops,72,Resolved,2026-05-02,Breached,11,0,Invalid Currency,0.927,Reference Data Ops,Most similar historical pattern: Invalid Currency,"Validate security currency, trade currency, and portfolio base currency mapping.",False,35.0,"Invalid Currency in Reference Data from IBOR is ranked Low because the item is 7 days old, has a break amount of 857.47, and carries confidence 0.927.",0.0658,False,Multi-factor isolation signal,Low
EXC0000046,Position Reconciliation Break,Positions,Aladdin,Americas,Equity,1,12,80182.29,-0.36,0,0,7,Critical,Position Reconciliation Break pattern detected from source controls,Reconciliation,8,Open,2026-04-11,Breached,20,1,Position Reconciliation Break,0.887,Reconciliation,Most similar historical pattern: Position Reconciliation Break,"Compare IBOR, ABOR, and custodian balances; prioritize material value gaps.",False,68.3,"Position Reconciliation Break in Positions from Aladdin is ranked Critical because the item is 12 days old, has a break amount of 80182.29, and carries confidence 0.887.",0.2196,False,High-value reconciliation break,Critical
EXC0000047,Performance Return Outlier,Positions,Custodian,EMEA,ETF,1,5,9039.92,17.41,0,0,15,Medium,Performance Return Outlier pattern detected from source controls,Reconciliation,48,Resolved,2026-04-28,Breached,7,0,Performance Return Outlier,0.855,Reconciliation,Most similar historical pattern: Performance Return Outlier,"Check vendor price history, compare secondary source, and escalate material moves.",False,45.0,"Performance Return Outlier in Positions from Custodian is ranked Medium because the item is 5 days old, has a break amount of 9039.92, and carries confidence 0.855.",0.3555,False,Large price/return move,Medium
EXC0000048,Delayed Source Load,Source Control,ABOR,EMEA,ETF,0,13,1312.17,0.65,0,0,90,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Escalated,2026-04-01,Breached,22,0,Delayed Source Load,0.965,Source Systems,Most similar historical pattern: Delayed Source Load,Check source-system batch status and notify technology owner if SLA breached.,False,43.8,"Delayed Source Load in Source Control from ABOR is ranked Medium because the item is 13 days old, has a break amount of 1312.17, and carries confidence 0.965.",0.4295,False,Late source refresh,Medium
EXC0000049,Missing Client Mapping,Client Data,Custodian,APAC,Government Bond,3,9,455.83,1.43,0,0,18,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Resolved,2026-03-26,Breached,11,0,Missing Client Mapping,0.978,Client Data Ops,Most similar historical pattern: Missing Client Mapping,Route to client-data operations to complete portfolio and account mapping.,False,34.4,"Missing Client Mapping in Client Data from Custodian is ranked Low because the item is 9 days old, has a break amount of 455.83, and carries confidence 0.978.",0.0374,False,Multi-factor isolation signal,Low
EXC0000050,Trade Match Break,Trades,SimCorp,Americas,ETF,0,20,19736.69,-3.67,0,0,3,Critical,Trade Match Break pattern detected from source controls,Trade Support,8,Resolved,2026-04-13,Breached,25,0,Trade Match Break,0.904,Trade Support,Most similar historical pattern: Trade Match Break,Review counterparty economic fields and run fuzzy security/client match.,False,63.5,"Trade Match Break in Trades from SimCorp is ranked Critical because the item is 20 days old, has a break amount of 19736.69, and carries confidence 0.904.",0.3305,False,Aging unresolved item,Critical
EXC0000051,Position Reconciliation Break,Positions,Custodian,APAC,Equity,1,3,65029.35,-0.83,0,0,3,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Open,2026-04-04,Breached,18,1,Position Reconciliation Break,0.875,Reconciliation,Most similar historical pattern: Position Reconciliation Break,"Compare IBOR, ABOR, and custodian balances; prioritize material value gaps.",False,58.4,"Position Reconciliation Break in Positions from Custodian is ranked High because the item is 3 days old, has a break amount of 65029.35, and carries confidence 0.875.",0.3145,False,Multi-factor isolation signal,High
